DateBag;Site;ID;Week;Station;TreatmentNr;DateSorting;SorterID;SpeciesTreatmentNr;Species;NbSeedStart;SeedsCount;DamagedSeedsCount;SignsPredation;Notes;
16.10.2024;BET;MD;2;8;2;14.04.2025;CT;1;Fagus sylvatica;5;6;0;;;
16.10.2024;BET;MD;2;8;2;14.04.2025;CT;1;Picea abies;120;120;0;;;
16.10.2024;BET;SG&JK;2;9;1;15.04.2025;CT;1;Abies alba;25;25;1;;;
16.10.2024;BET;SG&JK;2;9;1;15.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;9;1;15.04.2025;CT;1;Picea abies;120;120;0;;;
16.10.2024;BET;SG&JK;2;9;2;30.04.2025;CT;1;Abies alba;25;25;0;;;
16.10.2024;BET;SG&JK;2;9;2;30.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;9;2;30.04.2025;CT;1;Picea abies;120;120;0;;;
16.10.2024;BET;SG&JK;2;10;2;29.04.2025;CT;1;Abies alba;25;25;2;Hole;;
16.10.2024;BET;SG&JK;2;10;2;29.04.2025;CT;1;Fagus sylvatica;5;5;1;Hole;;
16.10.2024;BET;SG&JK;2;10;2;29.04.2025;CT;1;Picea abies;120;121;0;;;
16.10.2024;BET;MD;2;10;1;14.04.2025;CT;1;Abies alba;25;25;2;Hole and Crack;;
16.10.2024;BET;MD;2;10;1;14.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;MD;2;10;1;14.04.2025;CT;1;Picea abies;120;119;0;;;
23.10.2024;BET;SG&JK;3;1;2;24.03.2025;CT;1;Abies alba;25;25;1;Crack;A lot of litter;
23.10.2024;BET;SG&JK;3;1;2;24.03.2025;CT;1;Fagus sylvatica;5;5;0;;A lot of litter;
23.10.2024;BET;SG&JK;3;1;2;24.03.2025;CT;1;Picea abies;120;121;0;;A lot of litter;
23.10.2024;BET;MD;3;1;1;25.03.2025;CT;1;Abies alba;25;25;0;;Small feces pieces present;
23.10.2024;BET;MD;3;1;1;25.03.2025;CT;1;Fagus sylvatica;5;0;0;;Small feces pieces present;
23.10.2024;BET;MD;3;1;1;25.03.2025;CT;1;Picea abies;120;9;2;Crack;Small feces pieces present;
23.10.2024;BET;MD;3;2;2;24.03.2025;CT;1;Abies alba;25;25;1;Crack;;
23.10.2024;BET;MD;3;2;2;24.03.2025;CT;1;Fagus sylvatica;5;5;0;;;
23.10.2024;BET;MD;3;2;2;24.03.2025;CT;1;Picea abies;120;120;0;;;
23.10.2024;BET;MD;3;2;1;25.03.2025;CT;1;Abies alba;25;25;0;;;
23.10.2024;BET;MD;3;2;1;25.03.2025;CT;1;Fagus sylvatica;5;5;0;;;
23.10.2024;BET;MD;3;2;1;25.03.2025;CT;1;Picea abies;120;120;0;;;
23.10.2024;BET;MD;3;3;1;25.03.2025;CT;1;Abies alba;25;24;1;Crack;Lots of empty seed coats;
23.10.2024;BET;MD;3;3;1;25.03.2025;CT;1;Fagus sylvatica;5;0;0;;;
23.10.2024;BET;MD;3;3;1;25.03.2025;CT;1;Picea abies;120;3;1;Crack;;
23.10.2024;BET;MD;3;3;2;25.03.2025;CT;1;Abies alba;25;25;1;Hole;;
23.10.2024;BET;MD;3;3;2;25.03.2025;CT;1;Fagus sylvatica;5;5;0;;;
23.10.2024;BET;MD;3;3;2;25.03.2025;CT;1;Picea abies;120;119;0;;;
23.10.2024;BET;MD;3;4;2;18.03.2025;CT;1;Abies alba;25;25;0;;;
